@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 {0,1,2,3}

@data
2026,'2023/03/14 23:20:56:330',12,9.940084,-0.162114,-0.448056,1
2027,'2023/03/14 23:20:56:349',12,10.098011,-0.176471,-0.452842,1
2028,'2023/03/14 23:20:56:368',12,10.160224,-0.144168,-0.562912,1
2029,'2023/03/14 23:20:56:387',12,10.072886,-0.141775,-0.582054,1
2030,'2023/03/14 23:20:56:406',12,9.911072,-0.14656,-0.461217,1
2031,'2023/03/14 23:20:56:426',12,9.926624,-0.144168,-0.397508,1
2032,'2023/03/14 23:20:56:444',12,10.026226,-0.126221,-0.491127,1
2033,'2023/03/14 23:20:56:464',12,10.123136,-0.14656,-0.561715,1
2034,'2023/03/14 23:20:56:483',12,10.126724,-0.139382,-0.517448,1
2035,'2023/03/14 23:20:56:501',12,10.036994,-0.144168,-0.425324,1
2036,'2023/03/14 23:20:56:522',12,9.961619,-0.165703,-0.391526,1
2037,'2023/03/14 23:20:56:540',12,9.94846,-0.117847,-0.524626,1
2038,'2023/03/14 23:20:56:560',12,9.979566,-0.166899,-0.566501,1
2039,'2023/03/14 23:20:56:579',12,10.022636,-0.187238,-0.486341,1
2040,'2023/03/14 23:20:56:597',12,9.930214,-0.141775,-0.485145,1
2041,'2023/03/14 23:20:56:618',12,9.885947,-0.113061,-0.466002,1
2042,'2023/03/14 23:20:56:636',12,9.987941,-0.119043,-0.537787,1
2043,'2023/03/14 23:20:56:656',12,10.174581,-0.135793,-0.451645,1
2044,'2023/03/14 23:20:56:675',12,10.115957,-0.170489,-0.399003,1
2045,'2023/03/14 23:20:56:693',12,9.873982,-0.194417,-0.377169,1
2046,'2023/03/14 23:20:56:713',12,9.805787,-0.215952,-0.485145,1
2047,'2023/03/14 23:20:56:731',12,10.083653,-0.178863,-0.589233,1
2048,'2023/03/14 23:20:56:752',12,10.095618,-0.220738,-0.639482,1
2049,'2023/03/14 23:20:56:770',12,10.013065,-0.165703,-0.568894,1
2050,'2023/03/14 23:20:56:789',12,10.021441,-0.183649,-0.349651,1
2051,'2023/03/14 23:20:56:810',12,10.014262,-0.145364,-0.23001,1
2052,'2023/03/14 23:20:56:828',12,9.947263,-0.148953,-0.214457,1
2053,'2023/03/14 23:20:56:846',12,9.961619,-0.147757,-0.308973,1
2054,'2023/03/14 23:20:56:868',12,10.160224,-0.148953,-0.35324,1
2055,'2023/03/14 23:20:56:886',12,10.182956,-0.168096,-0.480359,1
2056,'2023/03/14 23:20:56:904',12,10.052547,-0.175274,-0.617946,1
2057,'2023/03/14 23:20:56:923',12,10.088439,-0.174078,-0.585643,1
2058,'2023/03/14 23:20:56:943',12,10.099207,-0.176471,-0.392722,1
2059,'2023/03/14 23:20:56:962',12,9.94846,-0.190828,-0.326919,1
2060,'2023/03/14 23:20:56:981',12,9.852448,-0.162114,-0.424128,1
2061,'2023/03/14 23:20:57:000',12,9.953245,-0.110668,-0.456431,1
2062,'2023/03/14 23:20:57:020',12,9.97837,-0.104686,-0.4002,1
2063,'2023/03/14 23:20:57:039',12,9.932906,-0.141775,-0.442074,1
2064,'2023/03/14 23:20:57:058',12,9.949656,-0.153739,-0.439681,1
2065,'2023/03/14 23:20:57:077',12,10.05494,-0.162114,-0.519841,1
2066,'2023/03/14 23:20:57:097',12,9.987941,-0.188435,-0.671785,1
2067,'2023/03/14 23:20:57:115',12,9.966406,-0.199202,-0.712463,1
2068,'2023/03/14 23:20:57:134',12,10.00469,-0.19681,-0.58684,1
2069,'2023/03/14 23:20:57:153',12,10.051351,-0.148953,-0.44686,1
2070,'2023/03/14 23:20:57:173',12,9.977173,-0.151346,-0.440878,1
2071,'2023/03/14 23:20:57:192',12,9.955638,-0.15015,-0.504287,1
2072,'2023/03/14 23:20:57:212',12,10.05494,-0.174078,-0.528216,1
2073,'2023/03/14 23:20:57:230',12,10.121939,-0.152542,-0.452842,1
2074,'2023/03/14 23:20:57:250',12,10.045368,-0.156132,-0.395115,1
2075,'2023/03/14 23:20:57:270',12,9.94846,-0.182453,-0.361615,1
2076,'2023/03/14 23:20:57:287',12,10.003494,-0.157328,-0.403789,1
2077,'2023/03/14 23:20:57:307',12,10.070493,-0.140578,-0.464806,1
2078,'2023/03/14 23:20:57:327',12,10.03819,-0.172881,-0.475574,1
2079,'2023/03/14 23:20:57:348',12,9.967602,-0.19322,-0.326919,1
2080,'2023/03/14 23:20:57:364',12,10.056136,-0.181256,-0.274277,1
2081,'2023/03/14 23:20:57:384',12,10.064511,-0.156132,-0.425324,1
2082,'2023/03/14 23:20:57:403',12,9.965209,-0.141775,-0.66341,1
2083,'2023/03/14 23:20:57:423',12,9.875179,-0.140578,-0.766301,1
2084,'2023/03/14 23:20:57:442',12,9.907482,-0.111864,-0.604786,1
2085,'2023/03/14 23:20:57:460',12,10.002297,-0.065204,-0.424128,1
2086,'2023/03/14 23:20:57:480',12,9.940084,-0.050847,-0.344866,1
2087,'2023/03/14 23:20:57:499',12,9.87159,-0.097508,-0.330509,1
2088,'2023/03/14 23:20:57:517',12,9.911072,-0.148953,-0.358026,1
2089,'2023/03/14 23:20:57:538',12,10.095618,-0.136989,-0.391526,1
2090,'2023/03/14 23:20:57:558',12,10.3684,-0.207577,-0.366401,1
2091,'2023/03/14 23:20:57:576',12,10.562517,-0.393021,-0.416949,1
2092,'2023/03/14 23:20:57:595',12,10.69173,-0.556929,-0.671785,1
2093,'2023/03/14 23:20:57:615',12,10.903495,-0.634995,-0.983151,1
2094,'2023/03/14 23:20:57:633',12,11.0016,-0.705584,-0.878764,1
2095,'2023/03/14 23:20:57:652',12,11.039886,-0.67328,-0.452842,1
2096,'2023/03/14 23:20:57:673',12,11.029118,-0.599103,-0.008674,1
2097,'2023/03/14 23:20:57:691',12,10.903495,-0.407378,0.300299,1
2098,'2023/03/14 23:20:57:710',12,10.526625,-0.176471,0.208176,1
2099,'2023/03/14 23:20:57:730',12,10.036994,0.084646,0.048754,1
2100,'2023/03/14 23:20:57:748',12,9.567701,0.186341,-0.128315,1
2101,'2023/03/14 23:20:57:767',12,9.475577,0.177966,-0.273081,1
2102,'2023/03/14 23:20:57:788',12,9.462418,0.137288,-0.375972,1
2103,'2023/03/14 23:20:57:808',12,9.404989,0.134895,-0.672981,1
2104,'2023/03/14 23:20:57:826',12,9.355638,0.032004,-0.862014,1
2105,'2023/03/14 23:20:57:845',12,9.44806,0.022433,-0.9003,1
2106,'2023/03/14 23:20:57:864',12,9.446864,0.041575,-0.854836,1
2107,'2023/03/14 23:20:57:882',12,9.143872,0.121735,-0.760319,1
2108,'2023/03/14 23:20:57:903',12,8.687741,0.227019,-0.558126,1
2109,'2023/03/14 23:20:57:921',12,8.469994,0.38016,-0.379561,1
2110,'2023/03/14 23:20:57:939',12,8.629117,0.45673,-0.261117,1
2111,'2023/03/14 23:20:57:960',12,9.213264,0.396909,-0.336491,1
2112,'2023/03/14 23:20:57:978',12,9.848858,0.254537,-0.541376,1
2113,'2023/03/14 23:20:57:998',12,10.309775,0.12652,-0.50668,1
