time,grx,gry,grz,lax,lay,laz
79,0.323367,0.443227,9.96766,-0.0835609,0.103938,-0.0050293
80,0.323367,0.443227,9.96766,-0.0835609,0.168445,-0.0050293
81,0.323367,0.443227,9.96766,-0.0835609,0.168445,0.0826889
82,0.191685,0.443227,9.96766,-0.0835609,0.168445,0.0826889
83,0.191685,0.421678,9.96766,-0.0835609,0.168445,0.0826889
84,0.191685,0.421678,10.3222,-0.0835609,0.168445,0.0826889
85,0.191685,0.421678,10.3222,-0.226086,0.168445,0.0826889
86,0.191685,0.421678,10.3222,-0.226086,0.175659,0.0826889
87,0.191685,0.421678,10.3222,-0.226086,0.175659,0.422524
88,0.414346,0.421678,10.3222,-0.226086,0.175659,0.422524
89,0.414346,0.162955,10.3222,-0.226086,0.175659,0.422524
90,0.414346,0.162955,10.3629,-0.226086,0.175659,0.422524
91,0.414346,0.162955,10.3629,-0.16584,0.175659,0.422524
92,0.414346,0.162955,10.3629,-0.16584,0.0570114,0.422524
93,0.414346,0.162955,10.3629,-0.16584,0.0570114,0.6009
94,0.414346,0.162955,10.3629,-0.16584,0.0570114,0.6009
95,0.414346,0.162955,10.3629,-0.16584,0.0570114,0.6009
96,0.414346,0.162955,10.3629,-0.16584,0.0570114,0.6009
97,0.414346,0.162955,10.3629,-0.0303192,0.0570114,0.6009
98,0.414346,0.162955,10.3629,-0.0303192,-0.0404297,0.6009
99,0.414346,0.162955,10.3629,-0.0303192,-0.0404297,0.428254
100,0.411952,0.162955,10.3629,-0.0303192,-0.0404297,0.428254
101,0.411952,0.129287,10.3629,-0.0303192,-0.0404297,0.428254
102,0.411952,0.129287,10.1472,-0.0303192,-0.0404297,0.428254
103,0.411952,0.129287,10.1472,-0.0318237,-0.0404297,0.428254
104,0.411952,0.129287,10.1472,-0.0318237,-0.0694794,0.428254
105,0.411952,0.129287,10.1472,-0.0318237,-0.0694794,0.20554
106,0.373645,0.129287,10.1472,-0.0318237,-0.0694794,0.20554
107,0.373645,0.107739,10.1472,-0.0318237,-0.0694794,0.20554
108,0.373645,0.107739,9.87892,-0.0318237,-0.0694794,0.20554
109,0.373645,0.107739,9.87892,-0.0698128,-0.0694794,0.20554
110,0.373645,0.107739,9.87892,-0.0698128,-0.0848526,0.20554
111,0.373645,0.107739,9.87892,-0.0698128,-0.0848526,-0.0606354
112,0.344914,0.107739,9.87892,-0.0698128,-0.0848526,-0.0606354
113,0.344914,0.067038,9.87892,-0.0698128,-0.0848526,-0.0606354
114,0.344914,0.067038,9.68006,-0.0698128,-0.0848526,-0.0606354
115,0.344914,0.067038,9.68006,-0.0999451,-0.0848526,-0.0606354
116,0.344914,0.067038,9.68006,-0.0999451,-0.102837,-0.0606354
117,0.344914,0.067038,9.68006,-0.0999451,-0.102837,-0.250943
118,0.424073,0.067038,9.68006,-0.0999451,-0.102837,-0.250943
119,0.424073,0.0311249,9.68006,-0.0999451,-0.102837,-0.250943
120,0.424073,0.0311249,9.96512,-0.0999451,-0.102837,-0.250943
121,0.424073,0.0311249,9.96512,-0.0234497,-0.102837,-0.250943
122,0.424073,0.0311249,9.96512,-0.0234497,-0.104481,-0.250943
123,0.424073,0.0311249,9.96512,-0.0234497,-0.104481,0.032666
124,0.428862,0.0311249,9.96512,-0.0234497,-0.104481,0.032666
125,0.428862,0.0119713,9.96512,-0.0234497,-0.104481,0.032666
126,0.428862,0.0119713,10.4347,-0.0234497,-0.104481,0.032666
127,0.428862,0.0119713,10.4347,0.0404625,-0.104481,0.032666
128,0.428862,0.0119713,10.4347,0.0404625,-0.0834534,0.032666
129,0.428862,0.0119713,10.4347,0.0404625,-0.0834534,0.276862
130,0.380828,0.0119713,10.4347,0.0404625,-0.0834534,0.276862
131,0.380828,0.067038,10.4347,0.0404625,-0.0834534,0.276862
132,0.380828,0.067038,10.2623,0.0404625,-0.0834534,0.276862
133,0.380828,0.067038,10.2623,-0.0306923,-0.0834534,0.276862
134,0.380828,0.067038,10.2623,-0.0306923,-0.0686272,0.276862
135,0.380828,0.067038,10.2623,-0.0306923,-0.0686272,0.476198
136,0.270695,0.067038,10.2623,-0.0306923,-0.0686272,0.476198
137,0.270695,0.105345,10.2623,-0.0306923,-0.0686272,0.476198
138,0.270695,0.105345,10.0299,-0.0306923,-0.0686272,0.476198
139,0.270695,0.105345,10.0299,-0.0851204,-0.0686272,0.476198
140,0.270695,0.105345,10.0299,-0.0851204,-0.0109604,0.476198
141,0.270695,0.105345,10.0299,-0.0851204,-0.0109604,0.294008
142,0.270695,0.105345,10.0299,-0.0851204,-0.0109604,0.294008
143,0.270695,0.105345,10.0299,-0.0851204,-0.0109604,0.294008
144,0.270695,0.105345,10.0299,-0.0851204,-0.0109604,0.294008
145,0.270695,0.105345,10.0299,-0.195702,-0.0109604,0.294008
146,0.270695,0.105345,10.0299,-0.195702,0.0148834,0.294008
147,0.270695,0.105345,10.0299,-0.195702,0.0148834,0.0600143
148,0.218022,0.105345,10.0299,-0.195702,0.0148834,0.0600143
149,0.218022,0.182109,10.0299,-0.195702,0.0148834,0.0600143
150,0.218022,0.182109,9.69697,-0.195702,0.0148834,0.0600143
151,0.218022,0.182109,9.69697,-0.246471,0.0148834,0.0600143
152,0.218022,0.182109,9.69697,-0.246471,0.0749695,0.0600143
153,0.218022,0.182109,9.69697,-0.246471,0.0749695,-0.263427
154,0.697012,0.182109,9.69697,-0.246471,0.0749695,-0.263427
155,0.697012,0.0430954,9.69697,-0.246471,0.0749695,-0.263427
156,0.697012,0.0430954,9.7257,-0.246471,0.0749695,-0.263427
157,0.697012,0.0430954,9.7257,-0.0909119,0.0749695,-0.263427
158,0.697012,0.0430954,9.7257,-0.0909119,0.0724213,-0.263427
159,0.697012,0.0430954,9.7257,-0.0909119,0.0724213,-0.212684
160,0.697012,0.0430954,9.7257,-0.0909119,0.0724213,-0.212684
161,0.697012,0.0430954,9.7257,-0.0909119,0.0724213,-0.212684
162,0.697012,0.0430954,9.7257,-0.0909119,0.0724213,-0.212684
163,0.697012,0.0430954,9.7257,0.222359,0.0724213,-0.212684
164,0.697012,0.0430954,9.7257,0.222359,-0.0914085,-0.212684
165,0.697012,0.0430954,9.7257,0.222359,-0.0914085,-0.219174
