@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute wek-1 numeric
@attribute wek-2 numeric
@attribute wek-3 numeric
@attribute wek-4 numeric
@attribute wek-5 numeric
@attribute wek-6 numeric
@attribute wek-7 numeric
@attribute wek-8 numeric

@data
40,'2023/03/14 20:43:18:596',1,0.696311,0.093021,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
41,'2023/03/14 20:43:18:615',1,0.699901,0.087039,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
42,'2023/03/14 20:43:18:632',1,0.697508,0.097807,9.919745,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
43,'2023/03/14 20:43:18:650',1,0.691526,0.097807,9.940084,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
44,'2023/03/14 20:43:18:670',1,0.704686,0.107378,9.955638,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
45,'2023/03/14 20:43:18:689',1,0.70349,0.099003,9.94487,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
46,'2023/03/14 20:43:18:708',1,0.709472,0.102592,9.94846,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
47,'2023/03/14 20:43:18:726',1,0.702293,0.100199,9.926924,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
48,'2023/03/14 20:43:18:746',1,0.697508,0.091825,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
49,'2023/03/14 20:43:18:765',1,0.698704,0.089432,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
50,'2023/03/14 20:43:18:785',1,0.695115,0.091825,9.919745,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
51,'2023/03/14 20:43:18:804',1,0.704686,0.089432,9.923335,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
52,'2023/03/14 20:43:18:824',1,0.710668,0.100199,9.924531,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
53,'2023/03/14 20:43:18:844',1,0.713061,0.102592,9.955638,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
54,'2023/03/14 20:43:18:862',1,0.713061,0.110967,9.971191,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
55,'2023/03/14 20:43:18:882',1,0.697508,0.110967,9.954441,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
56,'2023/03/14 20:43:18:899',1,0.698704,0.100199,9.935299,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
57,'2023/03/14 20:43:18:922',1,0.695115,0.091825,9.913763,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
58,'2023/03/14 20:43:18:938',1,0.702293,0.089432,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
59,'2023/03/14 20:43:18:957',1,0.704686,0.091825,9.931709,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
60,'2023/03/14 20:43:18:975',1,0.704686,0.106182,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
61,'2023/03/14 20:43:18:996',1,0.701097,0.102592,9.94846,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
62,'2023/03/14 20:43:19:015',1,0.709472,0.102592,9.947263,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
63,'2023/03/14 20:43:19:035',1,0.705883,0.103789,9.942477,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
64,'2023/03/14 20:43:19:053',1,0.693919,0.102592,9.922138,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
65,'2023/03/14 20:43:19:074',1,0.690329,0.099003,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
66,'2023/03/14 20:43:19:092',1,0.70349,0.090628,9.912567,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
67,'2023/03/14 20:43:19:111',1,0.704686,0.093021,9.932906,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
68,'2023/03/14 20:43:19:129',1,0.707079,0.088235,9.935299,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
69,'2023/03/14 20:43:19:149',1,0.709472,0.106182,9.949656,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
70,'2023/03/14 20:43:19:169',1,0.702293,0.102592,9.965209,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
71,'2023/03/14 20:43:19:186',1,0.699901,0.102592,9.953245,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
72,'2023/03/14 20:43:19:205',1,0.699901,0.097807,9.935299,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
73,'2023/03/14 20:43:19:227',1,0.70349,0.091825,9.924531,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
74,'2023/03/14 20:43:19:245',1,0.707079,0.08345,9.924531,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
75,'2023/03/14 20:43:19:266',1,0.713061,0.090628,9.918549,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
76,'2023/03/14 20:43:19:284',1,0.708275,0.095414,9.940084,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
77,'2023/03/14 20:43:19:303',1,0.699901,0.104985,9.94128,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
78,'2023/03/14 20:43:19:322',1,0.701097,0.103789,9.950852,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
79,'2023/03/14 20:43:19:343',1,0.705883,0.106182,9.953245,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
80,'2023/03/14 20:43:19:360',1,0.705883,0.102592,9.943673,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
81,'2023/03/14 20:43:19:379',1,0.714258,0.100199,9.936495,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
82,'2023/03/14 20:43:19:399',1,0.704686,0.095414,9.931709,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
83,'2023/03/14 20:43:19:417',1,0.707079,0.100199,9.929317,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
84,'2023/03/14 20:43:19:436',1,0.698704,0.100199,9.931709,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
85,'2023/03/14 20:43:19:456',1,0.689133,0.094217,9.936495,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
86,'2023/03/14 20:43:19:474',1,0.70349,0.09661,9.923335,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
87,'2023/03/14 20:43:19:495',1,0.711865,0.095414,9.920941,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
88,'2023/03/14 20:43:19:515',1,0.707079,0.097807,9.935299,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
89,'2023/03/14 20:43:19:533',1,0.715454,0.094217,9.938888,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
90,'2023/03/14 20:43:19:552',1,0.709472,0.104985,9.934102,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
91,'2023/03/14 20:43:19:571',1,0.704686,0.110967,9.947263,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
92,'2023/03/14 20:43:19:591',1,0.690329,0.103789,9.934102,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
93,'2023/03/14 20:43:19:609',1,0.695115,0.093021,9.928121,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
94,'2023/03/14 20:43:19:628',1,0.705883,0.089432,9.931709,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
95,'2023/03/14 20:43:19:648',1,0.713061,0.09661,9.929317,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
96,'2023/03/14 20:43:19:666',1,0.714258,0.100199,9.929317,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
97,'2023/03/14 20:43:19:687',1,0.705883,0.106182,9.934102,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
98,'2023/03/14 20:43:19:705',1,0.70349,0.101396,9.94128,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
99,'2023/03/14 20:43:19:724',1,0.701097,0.103789,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
100,'2023/03/14 20:43:19:744',1,0.699901,0.097807,9.937692,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
101,'2023/03/14 20:43:19:762',1,0.702293,0.09661,9.940084,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
102,'2023/03/14 20:43:19:782',1,0.697508,0.095414,9.932906,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
103,'2023/03/14 20:43:19:801',1,0.707079,0.099003,9.928121,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
104,'2023/03/14 20:43:19:821',1,0.705883,0.107378,9.928121,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
105,'2023/03/14 20:43:19:839',1,0.707079,0.09661,9.926924,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
106,'2023/03/14 20:43:19:858',1,0.710668,0.102592,9.946067,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
107,'2023/03/14 20:43:19:879',1,0.709472,0.09661,9.956834,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
108,'2023/03/14 20:43:19:897',1,0.696311,0.102592,9.946067,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
109,'2023/03/14 20:43:19:916',1,0.702293,0.102592,9.924531,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
110,'2023/03/14 20:43:19:936',1,0.70349,0.089432,9.908978,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
111,'2023/03/14 20:43:19:955',1,0.70349,0.085843,9.904192,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
112,'2023/03/14 20:43:19:975',1,0.710668,0.084646,9.926924,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
113,'2023/03/14 20:43:19:994',1,0.702293,0.093021,9.961619,0.06883,0.047379,0.044313,0.142875,0.667046,0.039138,0.768686,0.425115
114,'2023/03/14 20:43:33:177',2,-0.233898,0.772882,-9.771689,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
115,'2023/03/14 20:43:33:212',2,-0.249452,0.786042,-9.829117,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
116,'2023/03/14 20:43:33:216',2,-0.248255,0.814756,-9.819546,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
117,'2023/03/14 20:43:33:234',2,-0.260219,0.79681,-9.766904,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
118,'2023/03/14 20:43:33:254',2,-0.267398,0.757328,-9.745368,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
119,'2023/03/14 20:43:33:274',2,-0.253041,0.751346,-9.753743,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
120,'2023/03/14 20:43:33:292',2,-0.237488,0.746561,-9.775279,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
121,'2023/03/14 20:43:33:312',2,-0.219541,0.7669,-9.762118,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
122,'2023/03/14 20:43:33:329',2,-0.230309,0.788435,-9.777672,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
123,'2023/03/14 20:43:33:348',2,-0.237488,0.783649,-9.776475,0.359353,0.817695,0.643393,0.437337,0.076502,0.932771,0.513932,0.900225
